id,text,intent,tramite,playlist,yt_title,n_frames,duration_s,fps,confidence_avg,pose_pct,face_pct,left_hand_pct,right_hand_pct,word_count
DSC_0797 Plan Salud Ciudad si_0000,"¿Qué es la Cobertura Porteña de Salud? Si una persona con discapacidad no tiene obra social o prepaga, puede ir a un Hospital público y buscar la oficina de “Cobertura Porteña de Salud” para pedir una credencial. Hay que presentar el DNI, certificado de domicilio y una factura de impuesto o servicio del domicilio declarado",salud,5_cobertura_porteña_salud,Guía de Información 2018/2019 | Salud,5. Cobertura Porteña Salud,,19.09,29.97002997002997,0.758,1.0,1.0,0.829,0.795,55
DSC_0798 Incluir Salud que es si_0000,"¿Qué es el Programa Incluir Salud? Las personas con discapacidad que no tienen ninguna cobertura médica y cobran la pensión no contributiva, pueden tramitar el alta en este Programa. Esta cobertura antes se llamaba ProFe.",salud,6_incluir_salud,Guía de Información 2018/2019 | Salud,6.  Incluir Salud,,18.18,29.97002997002997,0.5711,0.75,0.739,0.639,0.561,35
DSC_0799 Incluir Salud tramite si_0000,"¿Cómo pedís Incluir Salud? Anda a la Policía y lleva el original y una fotocopia del último recibo de cobro de pensión, y solicita que te certifiquen la copia. Pedí también un certificado de domicilio.  Con esta documentación, anda a una oficina UGP - Unidad de Gestión Provincial y lleva: fotocopia del DNI, el recibo certificado, y el certificado de domicilio. Ahí mismo te explicarán cómo seguir.",salud,7_afiliarse_a_incluir_salud,Guía de Información 2018/2019 | Salud,7.  Afiliarse a Incluir Salud,,25.93,29.97002997002997,0.7599,1.0,0.995,0.852,0.816,67
DSC_0802 Pasaje gratis si_0000,"¿Cómo usas el Pase Libre en micros de media y larga distancia? Hay 3 formas, por internet en la página www.reservapasajes.cnrt.gob.ar ; en la boletería del micro, llevando original y fotocopia del DNI y el Certificado de Discapacidad. Si corresponde, presenta original y fotocopia el DNI del acompañante. Por último, podes hacer el trámite en oficina de la CNRT presentando  la misma documentación.",transporte,2_pase_libre_para_viajar,Guía de Información 2018/2019 | Transporte,2. Pase libre para viajar,,24.92,29.97002997002997,0.7542,0.997,0.992,0.742,0.768,63
DSC_0809 Peaje libre si_0000,"¿Cómo pedís el Peaje Libre? Pedí un turno  en AUSA en la página:  www.ausa.com.ar/exencion-por-discapacidad/ y presenta la siguiente documentación en original y fotocopia: Certificado de Discapacidad, DNI, Cedula Verde, Símbolo Internacional de Discapacidad. El día del turno debe ir la persona con discapacidad.",transporte,3_peaje_libre,Guía de Información 2018/2019 | Transporte,3. Peaje libre,,16.78,29.97002997002997,0.7588,1.0,0.998,0.761,0.839,43
DSC_0812 Perro guia primera parte_0000,"Si sos una persona con discapacidad podes acceder a lugares y transporte público junto a tu  Perro Guía o de Asistencia. Para eso tenes que ir a la Secretaría de Transporte llevando tu DNI, Certificado de Discapacidad, una foto junto a tu perro, certificado de Entrenamiento Oficial y Libreta de vacunación de tu perro  al día. Mayormente los Perros Guía o de Asistencia trabajan con personas con baja visión o ciegas, y con  personas con otras discapacidades que los necesiten.",transporte,4_perro_guía_o_de_asistencia,Guía de Información 2018/2019 | Transporte,4. Perro guía o de asistencia,,24.49,29.97002997002997,0.7259,0.973,0.899,0.777,0.663,80
DSC_0824 Reserva estac CONFIRMAR SI_0000,"¿Cómo pedís una Reserva de Estacionamiento?  Si una persona con discapacidad tiene dificultad para moverse o tiene alguna discapacidad motora, puede realizar el pedido de la reserva. No necesariamente es frente a la puerta del domicilio, puede ser dentro de los 100 metros de distancia. Para realizar el trámite debes llevar la documentación listada aquí: (LINK)",transporte,6_cómo_pedir_la_reserva_de_estacionamiento_,Guía de Información 2018/2019 | Transporte,6. ¿Cómo pedir la reserva de estacionamiento? ↓,,24.79,29.97002997002997,0.7605,1.0,1.0,0.821,0.82,56
DSC_0826 Franquicia si_0000,"¿Qué son las franquicias? Si una persona con discapacidad quiere comprar un auto puede solicitar un descuento, solamente es válido para autos nuevos, y excención de impuestos/ no pago de IVA. No es válido para autos usados. Únicamente se otorga a las personas con discapacidad, y se tramita en la Agencia Nacional de Discapacidad.",transporte,7_franquicias,Guía de Información 2018/2019 | Transporte,7. Franquicias,,20.52,29.97002997002997,0.7562,0.997,0.992,0.767,0.829,54
DSC_0839 p.65 accesibilidad_0000,"Si te encontras con barreras de accesibilidad edilicia, y sos una persona con discapacidad que vive en la Ciudad, podes acercarte a COPIDIS, al área de Accesibilidad para consultar cómo presentar una Nota de Reclamo sobre tu lugar de trabajo, tu domicilio (casa o edificio), o establecimientos públicos. En la misma hay incluir los datos de domicilio, el plano, cuál es la barrera y fotos, y entregar todo en la Mesa de Entrada de COPIDIS",accesibilidad,1_copidis_área_accesibilidad,Guía de Información 2018/2019 | Accesibilidad,1. COPIDIS Área Accesibilidad,,31.9,29.97002997002997,0.7091,0.937,0.915,0.709,0.706,75
DSC_0841 p.66_0000,"Si sos una persona con discapacidad podes presentar una Nota de Reclamo en la Mesa de entrada de COPIDIS, para que el área de Accesibilidad la revise, releve el lugar denunciado, y realice el informe técnico correspondiente para que presentes en el lugar correspondiente.",accesibilidad,2_cómo_presentar_un_reclamo,Guía de Información 2018/2019 | Accesibilidad,2. ¿Cómo presentar un reclamo?,,22.72,29.97002997002997,0.7483,0.996,0.903,0.777,0.634,44
